@timestamp	auditd.log.AUID	process.executable
Oct 26, 2025 @ 00:01:11.784	victim	/usr/bin/gzip
Oct 26, 2025 @ 00:01:11.758	victim	/usr/bin/tar
Oct 25, 2025 @ 23:51:58.824	victim	/usr/bin/who
Oct 25, 2025 @ 23:51:56.867	victim	/usr/bin/tar
Oct 25, 2025 @ 23:51:56.543	victim	/usr/bin/tar
Oct 25, 2025 @ 23:28:56.513	victim	/usr/bin/who
Oct 25, 2025 @ 23:28:51.653	victim	/usr/bin/tar
Oct 25, 2025 @ 23:28:03.917	victim	/usr/bin/id
Oct 25, 2025 @ 18:41:15.523	victim	/usr/bin/tar
Oct 25, 2025 @ 18:41:15.523	victim	/usr/bin/tar
Oct 25, 2025 @ 18:41:15.523	victim	/usr/bin/gzip
Oct 25, 2025 @ 18:41:15.523	victim	/usr/bin/tar
Oct 25, 2025 @ 18:41:15.523	victim	/usr/bin/tar
Oct 25, 2025 @ 18:41:15.523	victim	/usr/bin/gzip
Oct 25, 2025 @ 18:41:15.521	victim	/usr/bin/tar
Oct 25, 2025 @ 18:41:15.521	victim	/usr/bin/tar
Oct 25, 2025 @ 18:41:15.502	victim	/usr/bin/tar
Oct 25, 2025 @ 18:41:15.502	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/gzip
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/gzip
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.482	victim	/usr/bin/gzip
Oct 25, 2025 @ 18:03:54.471	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.471	victim	/usr/bin/tar
Oct 25, 2025 @ 18:03:54.471	victim	/usr/bin/tar
Oct 25, 2025 @ 17:40:39.681	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.681	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.681	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.681	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.619	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.619	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.619	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.619	victim	/usr/bin/id
Oct 25, 2025 @ 17:40:39.490	victim	/usr/bin/who
Oct 25, 2025 @ 17:40:39.490	victim	/usr/bin/who
Oct 25, 2025 @ 17:40:39.490	victim	/usr/bin/who
Oct 25, 2025 @ 17:40:39.490	victim	/usr/bin/who
Oct 25, 2025 @ 17:40:39.062	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.062	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.062	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.062	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.058	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.058	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.058	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.058	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.053	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.053	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.053	victim	/usr/bin/uname
Oct 25, 2025 @ 17:40:39.053	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:35.624	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.624	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.624	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.624	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.571	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.571	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.571	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.571	victim	/usr/bin/id
Oct 25, 2025 @ 17:35:35.481	victim	/usr/bin/who
Oct 25, 2025 @ 17:35:35.481	victim	/usr/bin/who
Oct 25, 2025 @ 17:35:35.481	victim	/usr/bin/who
Oct 25, 2025 @ 17:35:35.481	victim	/usr/bin/who
Oct 25, 2025 @ 17:35:34.815	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.815	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.815	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.815	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.814	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.814	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.814	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.814	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.810	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.810	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.810	victim	/usr/bin/uname
Oct 25, 2025 @ 17:35:34.810	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.666	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.666	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.666	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.666	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.614	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.614	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.614	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.614	victim	/usr/bin/id
Oct 25, 2025 @ 17:23:43.517	victim	/usr/bin/who
Oct 25, 2025 @ 17:23:43.517	victim	/usr/bin/who
Oct 25, 2025 @ 17:23:43.517	victim	/usr/bin/who
Oct 25, 2025 @ 17:23:43.517	victim	/usr/bin/who
Oct 25, 2025 @ 17:23:43.209	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.209	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.209	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.209	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.207	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.207	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.207	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.207	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.204	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.204	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.204	victim	/usr/bin/uname
Oct 25, 2025 @ 17:23:43.204	victim	/usr/bin/uname
Oct 25, 2025 @ 17:21:14.102	victim	/usr/bin/netstat
Oct 25, 2025 @ 17:21:14.102	victim	/usr/bin/netstat
Oct 25, 2025 @ 17:21:14.102	victim	/usr/bin/netstat
Oct 25, 2025 @ 17:21:14.102	victim	/usr/bin/netstat
Oct 25, 2025 @ 14:25:00.459	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.459	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.459	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.459	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.383	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.383	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.383	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.383	victim	/usr/bin/id
Oct 25, 2025 @ 14:25:00.213	victim	/usr/bin/who
Oct 25, 2025 @ 14:25:00.213	victim	/usr/bin/who
Oct 25, 2025 @ 14:25:00.213	victim	/usr/bin/who
Oct 25, 2025 @ 14:25:00.213	victim	/usr/bin/who
Oct 25, 2025 @ 14:24:59.765	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.765	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.765	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.765	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.761	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.761	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.761	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.761	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.757	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.757	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.757	victim	/usr/bin/uname
Oct 25, 2025 @ 14:24:59.757	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:13.944	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.944	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.944	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.944	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.878	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.878	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.878	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.878	victim	/usr/bin/id
Oct 25, 2025 @ 14:23:13.744	victim	/usr/bin/who
Oct 25, 2025 @ 14:23:13.744	victim	/usr/bin/who
Oct 25, 2025 @ 14:23:13.744	victim	/usr/bin/who
Oct 25, 2025 @ 14:23:13.744	victim	/usr/bin/who
Oct 25, 2025 @ 14:23:12.828	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.828	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.828	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.828	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.824	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.824	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.824	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.824	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.819	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.819	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.819	victim	/usr/bin/uname
Oct 25, 2025 @ 14:23:12.819	victim	/usr/bin/uname
Oct 25, 2025 @ 01:11:13.984	victim	/usr/bin/id
Oct 25, 2025 @ 01:11:13.984	victim	/usr/bin/id
